Study,SampleName,location,age_months,lifestyle,study_accession,BioSample,NCBI_SampleName,SRA
Olm2022,2369,Tanzania (Hadza),3,Non-industrialized,PRJEB27517,SAMEA4766267,11358.2369,ERS2586230
Olm2022,2491,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766302,11358.2491,ERS2586265
Olm2022,2503,Tanzania (Hadza),3.6,Non-industrialized,PRJEB27517,SAMEA4766314,11358.2503,ERS2586277
Olm2022,2576,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766337,11358.2576,ERS2586300
Olm2022,2577,Tanzania (Hadza),12,Non-industrialized,PRJEB27517,SAMEA4766338,11358.2577,ERS2586301
Olm2022,2607,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766354,11358.2607,ERS2586317
Olm2022,2608,Tanzania (Hadza),18,Non-industrialized,PRJEB27517,SAMEA4766355,11358.2608,ERS2586318
Olm2022,2611,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766358,11358.2611,ERS2586321
Olm2022,2614,Tanzania (Hadza),2.1,Non-industrialized,PRJEB27517,SAMEA4766361,11358.2614,ERS2586324
Olm2022,2631,Tanzania (Hadza),21.6,Non-industrialized,PRJEB27517,SAMEA4766377,11358.2631,ERS2586340
Raman2019,Bgsng7052.m8,Bangladesh,7.3,Transitional,,,,
Raman2019,Bgsng7114.m4,Bangladesh,3.1,Transitional,,,,
Raman2019,Bgsng7149.m4,Bangladesh,3.4,Transitional,,,,
Raman2019,Bgsng7192.m30,Bangladesh,29.1,Transitional,,,,
Raman2019,Bgsng8064.m25,Bangladesh,24.2,Transitional,,,,
Raman2019,Bgsng7115.m35,Bangladesh,34,Transitional,,,,
Raman2019,Bgsng7018.m31,Bangladesh,30,Transitional,,,,
Raman2019,Bgsng7035.m29,Bangladesh,28.1,Transitional,,,,
Raman2019,Bgsng7082.m27,Bangladesh,26.1,Transitional,,,,
Raman2019,Bgsng7106.m31,Bangladesh,31.1,Transitional,,,,
Raman2019,Bgsng7131.m28,Bangladesh,27.1,Transitional,,,,
Raman2019,Bgsng7150.m25,Bangladesh,24.2,Transitional,,,,
