Study,SampleName,location,age_months,lifestyle,study_accession,BioSample,NCBI_SampleName,SRA
Vatenan2016,G75833,Estonia,3.666666667,Industrialized,,,,
Vatenan2016,G75837,Finland,11.25,Industrialized,,,,
Vatenan2016,G75844,Finland,24.33333333,Industrialized,,,,
Vatenan2016,G75862,Finland,19.33333333,Industrialized,,,,
Vatenan2016,G75536,Finland,33.25,Industrialized,,,,
Vatenan2016,G75558,Finland,32.91666667,Industrialized,,,,
Vatenan2016,G75633,Estonia,31.66666667,Industrialized,,,,
Vatenan2016,G75640,Estonia,11.5,Industrialized,,,,
Vatenan2016,G75642,Estonia,30.41666667,Industrialized,,,,
Vatenan2016,G75647,Estonia,12.33333333,Industrialized,,,,
Vatenan2016,G75654,Estonia,9.666666667,Industrialized,,,,
Kamngona2019,100.Family3036.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,120.Family3043.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,131.Family3046.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1414.Family3370.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1579.Family4003.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1583.Family4004.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1611.Family4010.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1622.Family4013.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1631.Family4015.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1644.Family4018.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1683.Family4026.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,178.Family3059.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,192.Family3063.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,201.Family3065.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2090.Family4114.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2132.Family4123.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2274.Family8007.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,229.Family3079.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2303.Family8026.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2319.Family8033.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,232.Family3080.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2357.Family8053.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2358.Family8054.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,236.Family3081.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2432.Family8092.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2436.Family8093.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2451.Family8098.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2455.Family8103.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2464.Family8109.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2479.Family8113.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2556.Family8142.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2560.Family8143.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2568.Family8145.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2588.Family8158.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2616.Family8171.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,295.Family3098.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3065.Family8302.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,312.Family3102.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,319.Family3104.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,339.Family3112.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,351.Family3115.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,387.Family3124.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,39.Family3012.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,4.Family3001.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,422.Family3136.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,437.Family3139.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,441.Family3140.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,445.Family3141.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,469.Family3148.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,494.Family3156.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,507.Family3160.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,509.Family3161.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,568.Family3177.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,59.Family3019.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,591.Family3182.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,620.Family3190.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,645.Family3198.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,66.Family3022.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,672.Family3204.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,717.Family3215.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,726.Family3217.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,757.Family3223.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,788.Family3229.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,839.Family3240.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,841.Family3241.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,889.Family3252.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,900.Family3254.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,936.Family3261.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,971.Family3268.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,990.Family3274.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1001.Family3276.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1009.Family3278.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1025.Family3282.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1039.Family3285.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1048.Family3287.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1092.Family3296.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1134.Family3305.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1180.Family3314.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1215.Family3321.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1242.Family3328.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1258.Family3332.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1273.Family3336.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1276.Family3338.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1334.Family3350.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1336.Family3351.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1347.Family3353.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1362.Family3357.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1369.Family3359.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1374.Family3360.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1392.Family3366.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1423.Family3372.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1440.Family3375.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1469.Family3380.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1475.Family3381.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1481.Family3382.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1504.Family3386.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1509.Family3388.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1515.Family3389.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1556.Family3402.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1573.Family3405.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1640.Family4017.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1693.Family4028.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1699.Family4029.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1719.Family4034.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1723.Family4035.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1729.Family4037.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1735.Family4038.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1740.Family4039.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1745.Family4040.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1753.Family4043.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1773.Family4048.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1778.Family4049.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1787.Family4053.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1803.Family4057.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1815.Family4059.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1832.Family4062.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1850.Family4065.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1864.Family4068.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1868.Family4069.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1873.Family4070.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1879.Family4071.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1885.Family4072.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1895.Family4074.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1932.Family4081.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1958.Family4087.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,1997.Family4094.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2002.Family4095.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2008.Family4096.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2033.Family4102.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2063.Family4109.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2156.Family4127.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2178.Family4132.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2193.Family4135.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2203.Family4138.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2243.Family4145.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2258.Family8001.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2262.Family8003.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2386.Family8070.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2416.Family8083.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2468.Family8110.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2492.Family8123.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2497.Family8125.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2508.Family8128.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2578.Family8152.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2592.Family8163.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2666.Family8188.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2675.Family8190.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2709.Family8200.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2715.Family8204.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2741.Family8212.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2762.Family8217.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2779.Family8222.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2793.Family8225.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2844.Family8242.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2866.Family8248.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2870.Family8251.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2873.Family8252.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2891.Family8256.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2908.Family8263.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2945.Family8273.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,2987.Family8283.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3022.Family8293.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3037.Family8297.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3069.Family8303.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3075.Family8305.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3077.Family8306.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3093.Family8310.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,3137.Family8321.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,630.Family3193.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,641.Family3197.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,705.Family3212.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,921.Family3258.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,942.Family3262.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,958.Family3265.Child1.6M,Malawi,6,Transitional,,,,
Kamngona2019,10.Family3004.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,101.Family3038.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,108.Family3039.Child2.18M,Malawi,18,Transitional,,,,
Kamngona2019,136.Family3048.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1660.Family4022.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,168.Family3057.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,18.Family3006.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,22.Family3007.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,222.Family3073.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,225.Family3078.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2295.Family8020.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2298.Family8021.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2321.Family8033.Child2.18M,Malawi,18,Transitional,,,,
Kamngona2019,2348.Family8045.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2352.Family8047.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2363.Family8056.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2364.Family8057.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2375.Family8065.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2381.Family8069.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2392.Family8074.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2456.Family8105.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2460.Family8106.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2469.Family8111.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2472.Family8112.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2493.Family8124.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,25.Family3008.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2511.Family8129.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2527.Family8135.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2539.Family8138.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,256.Family3087.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2609.Family8170.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,266.Family3091.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,278.Family3094.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,290.Family3097.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,314.Family3103.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,32.Family3010.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,321.Family3105.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,359.Family3118.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,365.Family3119.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,369.Family3120.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,373.Family3121.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,40.Family3013.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,401.Family3130.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,408.Family3132.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,424.Family3137.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,447.Family3142.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,455.Family3144.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,459.Family3146.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,471.Family3149.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,475.Family3150.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,487.Family3154.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,495.Family3157.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,528.Family3167.Child2.18M,Malawi,18,Transitional,,,,
Kamngona2019,54.Family3018.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,546.Family3172.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,561.Family3176.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,597.Family3184.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,60.Family3021.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,602.Family3185.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,623.Family3192.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,636.Family3196.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,658.Family3201.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,664.Family3202.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,692.Family3210.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,71.Family3024.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,719.Family3216.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,74.Family3025.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,780.Family3228.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,789.Family3230.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,793.Family3231.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,8.Family3003.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,85.Family3028.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,88.Family3030.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,90.Family3031.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,974.Family3270.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1017.Family3280.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1028.Family3283.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1065.Family3291.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1071.Family3292.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1083.Family3294.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1127.Family3304.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1163.Family3311.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1166.Family3312.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1228.Family3324.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1306.Family3344.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1338.Family3352.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1350.Family3354.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1355.Family3355.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1376.Family3362.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1443.Family3376.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1449.Family3377.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1484.Family3383.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1533.Family3398.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1537.Family3399.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1543.Family3400.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1565.Family3404.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1781.Family4052.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1806.Family4058.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1835.Family4063.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1853.Family4066.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1858.Family4067.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1888.Family4073.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1914.Family4078.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1940.Family4084.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1982.Family4092.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2020.Family4100.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2048.Family4106.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2110.Family4119.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2123.Family4122.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2228.Family4143.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2246.Family4146.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2599.Family8166.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2618.Family8172.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2645.Family8182.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2717.Family8205.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2734.Family8211.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2751.Family8215.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2756.Family8216.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2768.Family8219.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2788.Family8224.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2802.Family8227.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2821.Family8234.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2826.Family8235.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2881.Family8254.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2926.Family8269.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2932.Family8271.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2937.Family8272.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2948.Family8274.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2964.Family8277.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2974.Family8279.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,2977.Family8280.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,3007.Family8289.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,3096.Family8312.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,3118.Family8316.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,3128.Family8318.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,831.Family3239.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,843.Family3242.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,924.Family3259.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,950.Family3264.Child1.18M,Malawi,18,Transitional,,,,
Kamngona2019,1117.Family3301.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1136.Family3306.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,114.Family3042.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1145.Family3307.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1231.Family3325.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1244.Family3329.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1264.Family3335.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1299.Family3343.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1400.Family3368.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1416.Family3371.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1431.Family3374.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1664.Family4023.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1710.Family4033.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1754.Family4044.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,183.Family3061.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,1987.Family4093.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2010.Family4097.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2042.Family4105.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2059.Family4108.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2134.Family4124.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2194.Family4137.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2250.Family4148.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2287.Family8013.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2304.Family8027.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2443.Family8097.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2522.Family8133.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2541.Family8139.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2648.Family8183.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,274.Family3093.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2742.Family8213.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2859.Family8247.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2884.Family8255.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,2958.Family8276.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,3015.Family8292.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,304.Family3101.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,3106.Family8314.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,327.Family3109.Child1.12M,Malawi,12,Transitional,,,,
Kamngona2019,396.Family3129.Child1.12M,Malawi,12,Transitional,,,,
